排名,城市,总分,经济产值,财富储蓄,环境,科教,文化,卫生
1,北京,93.74,86.98,100.0,95.88,100.0,98.05,82.62
2,上海,88.23,88.96,90.81,76.25,90.25,100.0,75.72
3,广州,83.4,83.73,81.67,78.86,97.46,88.96,72.84
4,深圳,75.1,86.63,73.22,84.76,43.97,94.77,45.73
5,杭州,73.42,68.23,69.47,79.27,79.5,89.47,74.98
6,成都,72.34,61.37,68.22,79.54,90.3,84.1,84.21
7,苏州,71.36,78.58,64.13,75.97,61.9,87.38,60.25
8,天津,70.94,77.83,61.73,66.26,84.5,84.87,55.63
9,武汉,70.45,67.51,55.82,82.89,97.4,85.02,73.35
10,重庆,70.21,65.3,62.7,79.66,89.97,73.74,77.62
11,南京,67.45,66.87,57.64,69.45,87.0,89.42,57.6
12,长沙,65.16,63.65,51.84,73.98,84.6,76.84,73.22
13,郑州,64.36,53.24,56.96,80.95,89.5,75.27,71.64
14,西安,62.98,44.06,63.51,79.64,91.29,77.81,62.71
15,大连,62.01,51.69,56.74,83.85,70.9,88.92,54.86
16,无锡,61.62,65.59,54.95,80.12,46.13,78.24,50.68
17,青岛,61.54,63.01,51.31,78.68,69.92,68.18,57.73
18,济南,61.32,49.47,47.66,79.53,92.21,84.88,71.18
19,沈阳,60.26,40.01,59.23,75.43,81.09,85.38,67.99
20,宁波,60.16,59.8,57.28,73.88,51.26,78.02,47.89
21,佛山,58.7,60.48,64.79,80.43,14.64,73.09,41.18
22,南通,56.33,50.64,57.87,78.74,38.3,73.39,48.35
23,长春,55.02,44.92,46.03,72.84,78.3,73.0,57.67
24,烟台,54.78,52.26,45.11,81.76,49.69,78.52,48.55
25,哈尔滨,54.54,41.34,44.93,64.72,84.26,78.37,64.65
26,石家庄,53.98,38.14,48.02,84.68,80.72,63.85,57.14
27,福州,53.95,46.38,44.76,81.68,72.45,73.07,42.85
28,东莞,53.45,48.8,50.0,87.03,39.16,81.28,32.61
29,常州,53.3,51.87,47.03,80.95,43.23,74.52,39.47
30,太原,53.18,25.26,52.21,79.77,78.48,79.89,68.02
31,合肥,51.88,46.21,35.03,79.24,81.58,67.71,51.92
32,昆明,51.83,33.15,41.46,74.94,81.17,75.17,70.08
33,唐山,51.44,46.76,51.25,65.89,43.52,64.73,47.4
34,绍兴,50.21,43.01,46.28,81.62,39.01,73.26,42.97
35,温州,48.9,34.74,49.84,74.13,43.46,74.5,46.33
36,潍坊,47.73,36.15,40.75,82.39,52.86,60.61,55.09
37,泉州,46.97,47.05,32.43,77.99,52.57,67.87,36.2
38,南昌,46.71,37.77,35.71,79.04,88.14,41.77,42.44
39,嘉兴,46.68,35.41,46.03,81.91,26.32,81.35,35.73
40,徐州,46.0,41.1,30.35,81.2,47.08,67.44,54.71
41,淄博,45.86,40.74,34.8,84.59,39.61,64.5,47.13
42,厦门,44.99,37.56,33.36,80.66,54.64,78.7,27.63
43,鄂尔多斯,44.9,55.56,34.11,80.86,9.08,67.08,23.01
44,贵阳,44.86,26.73,30.54,79.95,72.06,78.83,53.57
45,扬州,44.81,41.79,36.96,78.93,34.16,71.82,29.54
46,南宁,44.41,26.04,32.7,72.82,71.84,74.49,55.84
47,呼和浩特,44.35,34.41,32.27,76.59,62.89,71.55,37.6
48,金华,44.25,30.27,50.08,77.9,11.02,70.38,44.06
49,台州,43.47,30.84,44.21,80.77,16.73,74.1,40.79
50,乌鲁木齐,43.45,21.28,37.76,74.45,62.94,69.97,56.64
51,镇江,42.44,41.73,31.83,74.75,36.17,72.25,23.2
52,威海,42.28,36.51,29.53,85.44,36.56,74.89,32.12
53,珠海,41.45,30.66,34.64,87.13,44.09,67.06,24.46
54,中山,40.83,33.96,39.91,77.02,22.12,65.95,23.46
55,泰州,40.79,37.76,34.83,68.09,20.23,68.41,35.49
56,盐城,40.65,34.39,28.57,74.49,30.72,68.61,48.07
57,廊坊,40.5,20.53,40.96,80.06,49.87,66.85,28.34
58,东营,40.39,44.93,23.96,82.95,18.18,69.31,29.6
59,包头,40.06,44.1,21.46,80.0,31.04,61.68,34.59
60,兰州,39.24,16.92,44.68,39.88,65.66,56.51,49.55
61,宜昌,38.96,35.68,21.75,79.41,28.58,72.63,41.55
62,济宁,38.75,29.27,27.14,81.75,38.08,53.16,50.19
63,泰安,37.77,25.43,20.5,84.3,42.86,80.04,39.65
64,保定,37.7,14.4,36.26,72.99,58.93,51.19,47.76
65,洛阳,37.61,28.0,24.87,78.35,38.91,53.41,52.05
66,沧州,36.81,23.09,31.84,77.16,26.06,59.54,44.98
67,惠州,35.27,29.58,24.52,82.34,18.39,62.49,31.02
68,大庆,34.57,28.17,24.27,53.38,32.69,64.62,41.61
69,襄阳,34.29,29.93,21.29,65.57,23.69,59.66,44.45
70,临沂,34.25,22.54,23.62,79.58,20.29,64.9,44.45
71,湖州,34.16,21.28,30.34,86.24,11.83,67.6,25.0
72,邯郸,34.14,16.32,28.62,83.36,28.59,53.36,46.73
73,江门,33.17,16.05,34.14,81.08,14.1,68.46,21.3
74,芜湖,32.17,24.48,11.79,78.7,44.91,66.0,29.85
75,株洲,31.96,19.44,15.21,80.23,41.47,64.04,36.79
76,吉林,31.25,17.82,22.08,62.88,39.97,49.36,45.86
77,淮安,31.18,24.41,9.51,73.69,33.53,68.8,40.68
78,聊城,31.13,18.01,19.27,85.84,15.19,70.55,33.81
79,德州,31.12,19.8,20.21,82.26,24.09,60.7,29.35
80,咸阳,30.52,13.87,16.7,76.94,47.59,56.36,39.74
81,衡阳,29.73,14.38,16.34,59.85,45.43,58.65,47.98
82,榆林,29.54,26.98,22.03,74.15,0.92,45.39,30.28
83,漳州,29.52,24.94,5.8,78.93,33.61,69.38,27.71
84,常德,27.9,19.86,13.04,78.62,24.23,40.31,42.54
85,柳州,27.8,19.55,12.69,59.07,30.89,59.75,37.01
86,新乡,27.51,7.21,12.64,77.56,45.92,54.76,45.63
87,滨州,27.43,19.74,12.1,71.17,19.38,61.53,32.13
88,赣州,25.7,0.77,19.42,63.28,41.96,63.89,34.64
89,南阳,25.67,12.36,16.05,69.91,33.12,38.06,35.78
90,岳阳,25.54,22.49,2.46,71.94,20.68,52.51,41.64
91,遵义,25.46,10.13,13.31,75.99,30.13,37.71,46.96
92,连云港,25.26,15.49,5.17,74.41,19.54,68.33,35.4
93,许昌,24.6,16.02,9.29,71.08,20.33,57.31,27.0
94,郴州,24.54,11.41,10.41,84.48,12.11,48.49,41.34
95,湛江,24.34,10.37,9.18,72.85,36.01,60.15,22.6
96,茂名,24.08,14.32,9.54,66.56,14.96,57.27,36.12
97,菏泽,23.23,7.0,17.21,71.57,19.98,26.49,46.91
98,宿迁,21.53,13.57,0.45,77.34,6.15,60.52,36.1
99,周口,20.91,1.32,11.43,75.78,17.38,47.23,37.37
100,枣庄,19.07,13.67,5.76,81.64,12.36,11.68,31.16
